itemid,shopid,name,currency,stock,status,ctime,t_ctime,sold,historical_sold,liked_count,brand,cmt_count,item_status,price,price_min,price_max,price_before_discount,show_discount,raw_discount,tier_variations_option,rating_star_avg,rating_star_1,rating_star_2,rating_star_3,rating_star_4,rating_star_5,item_type,is_adult,has_lowest_price_guarantee,is_official_shop,is_cc_installment_payment_eligible,is_non_cc_installment_payment_eligible,is_preferred_plus_seller,is_mart,is_on_flash_sale,is_service_by_shopee,shopee_verified,show_official_shop_label,show_shopee_verified_label,show_official_shop_label_in_title,show_free_shipping,insert_date
13215806629,57040335,Nhẫn móng nữ thời trang hàn quốc cá tính có đính đá cực đẹp,VND,20,1,1632496899,2021-09-24 15:21:39,0,4,1,,2,normal,900000000,900000000,900000000,1500000000,40,40,"Vàng,Bạc",5,0,0,0,0,2,0,False,False,False,False,False,True,False,False,False,True,False,True,False,False,2023-05-30 17:51:33
13014125508,57040335,Vòng tay nữ thời trang pha lê đính đá phong cách âu mỹ,VND,4,1,1632298943,2021-09-22 08:22:23,0,15,11,,6,normal,2500000000,2500000000,2500000000,4500000000,44,44,"Bạc,Vàng",5,0,0,0,0,6,0,False,False,False,False,False,True,False,False,False,True,False,True,False,False,2023-05-30 17:51:33
12614106286,57040335,Lắc tay nữ thời trang đính đá pha lê có thể điều chỉnh cực đẹp,VND,0,1,1632297423,2021-09-22 07:57:03,0,13,4,,6,sold_out,4500000000,4500000000,4500000000,0,0,0,,5,0,0,0,0,6,0,False,False,False,False,False,True,False,False,False,True,False,True,False,False,2023-05-30 17:51:33
12513777076,57040335,Vòng cổ nam thời trang mặt rồng đính đá cực chất,VND,25,1,1632231495,2021-09-21 13:38:15,0,10,2,,4,normal,1500000000,1500000000,1500000000,2900000000,48,48,,5,0,0,0,0,4,0,False,False,False,False,False,True,False,False,False,True,False,True,False,False,2023-05-30 17:51:33
12214091774,57040335,Set 9 cặp bông tai nữ thời trang kiểu dáng biển cả cực đẹp,VND,3,1,1632296344,2021-09-22 07:39:04,0,8,1,,2,normal,2900000000,2900000000,2900000000,4500000000,36,36,,5,0,0,0,0,2,0,False,False,False,False,False,True,False,False,False,True,False,True,False,False,2023-05-30 17:51:33
12013820863,57040335,Set 4 vòng tay nữ cá tính phong cách đơn giản nhiều màu lựa chọn,VND,0,1,1632239172,2021-09-21 15:46:12,0,10,2,,5,sold_out,4500000000,4500000000,4500000000,0,0,0,"Vàng,Bạc",5,0,0,0,0,5,0,False,False,False,False,False,True,False,False,False,True,False,True,False,False,2023-05-30 17:51:33
11598874601,57040335,Nhẫn nam mặt hổ điều chỉnh size cực đẹp,VND,28,1,1672972958,2023-01-06 02:42:38,0,3,1,,1,normal,2500000000,2500000000,2500000000,3900000000,36,36,,5,0,0,0,0,1,0,False,False,False,False,False,True,False,False,False,True,False,True,False,False,2023-05-30 17:51:33
11551144056,57040335,"Bộ trang sức thời trang nữ bông tai, nhẫn, dây chuyền cá tính",VND,17,1,1632234561,2021-09-21 14:29:21,0,2,1,,2,normal,3500000000,3500000000,5500000000,5500000000,36,36,"sku4762,sku4763,sku4764,sku5060,sku5063",5,0,0,0,0,2,0,False,False,False,False,False,True,False,False,False,True,False,True,False,False,2023-05-30 17:51:33
11251163305,57040335,Lắc vòng tay nữ thời trang hình cánh bướm mạ vàng phong cánh hàn quốc,VND,0,1,1632239737,2021-09-21 15:55:37,0,12,3,,4,sold_out,3500000000,3500000000,3500000000,0,0,0,,5,0,0,0,0,4,0,False,False,False,False,False,True,False,False,False,True,False,True,False,False,2023-05-30 17:51:33
10752296227,57040335,Dây chuyền nữ nhiều kiểu dáng lựa chọn X760 cá tính,VND,0,1,1632495853,2021-09-24 15:04:13,0,30,5,,16,sold_out,3500000000,3500000000,3500000000,0,0,0,"X760-1,X760-2,X760-3,X760-4,X760-5,X760-6",5,0,0,0,0,16,0,False,False,False,False,False,True,False,False,False,True,False,True,False,False,2023-05-30 17:51:33
10296613120,57040335,Khuyên tai nam châm unisex đơn giản nhiều mẫu lựa chọn,VND,43,1,1655387103,2022-06-16 13:45:03,0,27,1,,2,normal,1100000000,1100000000,1100000000,1800000000,39,39,"Trái tim,Hình vuông,Cỏ 4 lá,Quả táo,Hình tròn",5,0,0,0,0,2,0,False,False,False,False,False,True,False,False,False,True,False,True,False,False,2023-05-30 17:51:33
10028492378,57040335,Vòng tay da nam nữ unisex hình mỏ neo nhiều lựa chọn,VND,16,1,1628952598,2021-08-14 14:49:58,0,18,3,,1,normal,1500000000,1500000000,1500000000,2500000000,40,40,"Nâu,Đen",5,0,0,0,0,1,0,False,False,False,False,False,True,False,False,False,True,False,True,False,True,2023-05-30 17:51:33
9974243551,57040335,"Đồng Hồ Nữ 3CM Kiểu Dáng Hàn Quốc, Chống Nước Cơ Bản",VND,4,1,1625383729,2021-07-04 07:28:49,0,5,4,,2,normal,5900000000,5900000000,5900000000,9900000000,40,40,"Trắng,Hồng",5,0,0,0,0,2,0,False,False,False,False,False,True,False,False,False,True,False,True,False,True,2023-05-30 17:51:33
